NOTE #,SECTOR,RAD DIST,ANGLE (RAD),DIAMETER,SECTOR DENSITY,angleadjusted,radnorm,xc,yc,radcol,,radmax,1041.024241,
89,2,495.5965441,3.500064373,7.925577164,0.00838389,1.895064373,0.476066286,-0.15168189,0.451255707,1.132225309,,,,
90,2,471.6870026,3.315197893,11.17433167,0.00838389,1.710197893,0.453098961,-0.062958332,0.448703596,1.596333095,,,,
91,2,478.8009193,2.862442252,13.16869354,0.00838389,1.257442252,0.459932536,0.141774716,0.437536133,1.881241935,,,,
92,2,479.2543114,3.513161624,11.03878784,0.00838389,1.908161624,0.460368061,-0.152382776,0.434417128,1.576969692,,,,
93,2,518.85463,3.679331492,13.25985718,0.00838389,2.074331492,0.498407827,-0.240494205,0.43654656,1.894265311,,,,
94,2,456.5798204,3.419045189,9.29318428,0.00838389,1.814045189,0.438587117,-0.105636825,0.425675369,1.327597754,,,,
95,2,438.6476319,3.384365925,8.86326313,0.00838389,1.779365925,0.421361592,-0.08724743,0.412229884,1.266180447,,,,
96,2,457.513392,3.507516825,21.39334488,0.00838389,1.902516825,0.439483898,-0.143126814,0.415524743,3.056192126,,,,
97,2,426.1908336,3.10929958,21.87141228,0.00838389,1.50429958,0.409395686,0.027203423,0.408490883,3.124487468,,,,
98,2,447.3474557,2.776482084,12.13504791,0.00838389,1.171482084,0.429718577,0.167068836,0.395911681,1.733578273,,,,
99,2,450.3922127,3.613247644,10.25230789,0.00838389,2.008247644,0.432643348,-0.183281636,0.391903187,1.464615413,,,,
100,2,465.2984806,3.658640534,17.73198318,0.00838389,2.053640534,0.446962196,-0.207524593,0.395864557,2.533140455,,,,
101,2,408.2161757,3.394005546,13.76305199,0.00838389,1.789005546,0.392129366,-0.084888814,0.382830679,1.966150284,,,,
102,3,1003.91281,4.317935927,5.614990711,0.000166775,2.712935927,0.96435104,-0.877101284,0.400831967,0.80214153,,,,
103,2,417.9153054,2.757237098,15.01936722,0.00838389,1.152237098,0.401446276,0.163165622,0.36679162,2.145623888,,,,
104,3,1004.353047,4.328209648,5.673912525,0.000166775,2.723209648,0.964773928,-0.881559372,0.39197169,0.810558932,,,,
105,2,371.2011064,3.418174695,13.98832798,0.00838389,1.813174695,0.356572971,-0.085581846,0.346150301,1.998332569,,,,
106,2,357.9684154,2.993589535,21.40120316,0.00838389,1.388589535,0.343861748,0.062307843,0.338169535,3.057314737,,,,
107,2,334.5364651,3.050126392,10.13150024,0.00838389,1.445126392,0.321353194,0.040278221,0.318818977,1.447357178,,,,
108,2,344.0675788,3.264520805,25.47247505,0.00838389,1.659520805,0.33050871,-0.029285754,0.329208675,3.638925007,,,,
109,2,354.4139976,3.554412858,13.74442768,0.00838389,1.949412858,0.340447401,-0.12584139,0.316335862,1.963489669,,,,
110,1,979.465751,1.872721894,10.52117062,0.000891054,0.267721894,0.94086738,0.907349956,0.248892516,1.503024374,,,,
111,2,273.2641878,3.0473718,16.88043404,0.00838389,1.4423718,0.262495509,0.033618273,0.260333831,2.411490577,,,,
112,1,506.2543289,2.132780267,24.59418488,0.000891054,0.527780267,0.486304073,0.420131264,0.244910948,3.513454982,,,,
113,1,516.7906492,2.042153723,26.02893257,0.000891054,0.437153723,0.496425183,0.449741527,0.210167841,3.718418939,,,,
114,1,446.4024149,2.072122986,25.26011086,0.000891054,0.467122986,0.428810778,0.382871232,0.193101795,3.608587265,,,,
115,2,96.2287363,3.144261672,8.528997421,0.00838389,1.539261672,0.092436595,0.002914473,0.092390638,1.218428203,,,,
